0001,bulbasaur,grass,poison
0002,ivysaur,grass,poison
0003,venusaur,grass,poison
0003,venusaur,grass,poison
0004,charmander,fire,
0005,charmeleon,fire,
0006,charizard,fire,flying
0006,charizard,fire,dragon
0006,charizard,fire,flying
0007,squirtle,water,
0008,wartortle,water,
0009,blastoise,water,
0009,blastoise,water,
0010,caterpie,bug,
0011,metapod,bug,
0012,butterfree,bug,flying
0013,weedle,bug,poison
0014,kakuna,bug,poison
0015,beedrill,bug,poison
0015,beedrill,bug,poison
0016,pidgey,normal,flying
0017,pidgeotto,normal,flying
0018,pidgeot,normal,flying
0018,pidgeot,normal,flying
0019,rattata,normal,
0019,rattata,dark,normal
0020,raticate,normal,
0020,raticate,dark,normal
0021,spearow,normal,flying
0022,fearow,normal,flying
0023,ekans,poison,
0024,arbok,poison,
0025,pikachu,electric,
0025,pikachu,electric,
0026,raichu,electric,
0026,raichu,electric,psychic
0027,sandshrew,ground,
0027,sandshrew,ice,steel
0028,sandslash,ground,
0028,sandslash,ice,steel
0029,nidoran,poison,
0030,nidorina,poison,
0031,nidoqueen,poison,ground
0032,nidoran,poison,
0033,nidorino,poison,
0034,nidoking,poison,ground
0035,clefairy,fairy,
0036,clefable,fairy,
0037,vulpix,fire,
0037,vulpix,ice,
0038,ninetales,fire,
0038,ninetales,ice,fairy
0039,jigglypuff,normal,fairy
0040,wigglytuff,normal,fairy
0041,zubat,poison,flying
0042,golbat,poison,flying
0043,oddish,grass,poison
0044,gloom,grass,poison
0045,vileplume,grass,poison
0046,paras,bug,grass
0047,parasect,bug,grass
0048,venonat,bug,poison
0049,venomoth,bug,poison
0050,diglett,ground,
0050,diglett,ground,steel
0051,dugtrio,ground,
0051,dugtrio,ground,steel
0052,meowth,normal,
0052,meowth,dark,
0052,meowth,steel,
0053,persian,normal,
0053,persian,dark,
0054,psyduck,water,
0055,golduck,water,
0056,mankey,fighting,
0057,primeape,fighting,
0058,growlithe,fire,
0058,growlithe,fire,rock
0059,arcanine,fire,
0059,arcanine,fire,rock
0060,poliwag,water,
0061,poliwhirl,water,
0062,poliwrath,water,fighting
0063,abra,psychic,
0064,kadabra,psychic,
0065,alakazam,psychic,
0065,alakazam,psychic,
0066,machop,fighting,
0067,machoke,fighting,
0068,machamp,fighting,
0069,bellsprout,grass,poison
0070,weepinbell,grass,poison
0071,victreebel,grass,poison
0072,tentacool,water,poison
0073,tentacruel,water,poison
0074,geodude,rock,ground
0074,geodude,rock,electric
0075,graveler,rock,ground
0075,graveler,rock,electric
0076,golem,rock,ground
0076,golem,rock,electric
0077,ponyta,fire,
0077,ponyta,psychic,
0078,rapidash,fire,
0078,rapidash,psychic,fairy
